tienda_id,nombre,categorias,latitud,longitud,direccion,calificaciones,rango_precios,metodos_pago,tamano_tienda,estacionamiento,horario_apertura,distrito,zona
1,Ingeniero Electricista Colegiado,electrician,-12.2085746,-76.94618899999999,Av. Micaela Bastida y Arriba Peru (Ruta B Villa el Salvador,4.46,Medio,Efectivo,Pequeña,No,Horario laboral,Villa el Salvador,Lima Sur
2,impel graph,store,-12.2085328,-76.94621719999999,"Avenida Micaela Bastidas 1404, Villa EL Salvador",4.5200000000000005,Medio,Efectivo,Pequeña,Sí,Fines de semana,Villa el Salvador,Lima Sur
3,"Matizados Y Ferreteria ""Rosario""","hardware_store, store",-12.2089435,-76.9467207,"Arriba Peru 1249, Villa EL Salvador",4.82,Alto,Efectivo,Pequeña,No,24 horas,Villa el Salvador,Lima Sur
4,Antojitos Roxy,"cafe, food, store",-12.2091029,-76.9461019,"Q3R3+9H2, Lima",4.32,Bajo,Efectivo,Pequeña,No,Horario laboral,Desconocido,Desconocido
5,Carolina store,"home_goods_store, store",-12.2084875,-76.9464907,Arriba Peru,5.0,Medio,Efectivo,Pequeña,Sí,24 horas,Desconocido,Desconocido
6,Arriba Perú,transit_station,-12.20865,-76.94599,Peru,4.62,Medio,QR,Pequeña,No,Horario laboral,Desconocido,Desconocido
7,Botica Justo G,"pharmacy, health, store",-12.2085583,-76.9460502,"Q3R3+HHG, Villa el Salvador",5.0,Medio,Transferencia,Pequeña,No,24 horas,Villa el Salvador,Lima Sur
8,Mass micaela bastidas,"convenience_store, food, store",-12.208631,-76.9459892,"Avenida Micaela Bastidas 1507, Villa EL Salvador",4.3,Alto,Efectivo,Pequeña,Sí,Horario laboral,Villa el Salvador,Lima Sur
9,Anticucheria El Lobo Parrillero,"restaurant, food",-12.2088138,-76.9458939,"51, Villa EL Salvador",4.2,Medio,Transferencia,Pequeña,No,Horario laboral,Villa el Salvador,Lima Sur
10,Arriba Perú,transit_station,-12.20837,-76.94639,Peru,4.4,Medio,Efectivo,Mediana,No,Horario laboral,Desconocido,Desconocido
11,Lourdes Salón,hair_care,-12.2083707,-76.94642019999999,"Q3R3+MC4, Avenida Micaela Bastidas",4.3,Medio,Efectivo,Pequeña,No,24 horas,Desconocido,Desconocido
12,Restaurant Vicky,"restaurant, food",-12.2083684,-76.94641589999999,"Q3R3+MC4, Avenida Micaela Bastidas, Villa EL Salvador",4.540000000000001,Alto,Transferencia,Pequeña,No,24 horas,Villa el Salvador,Lima Sur
13,Piñatería miguelito,Sin Categoría,-12.2084031,-76.94656499999999,"Mercado modelo puesto f2, Villa EL Salvador",4.5600000000000005,Bajo,Efectivo,Pequeña,No,Horario laboral,Villa el Salvador,Lima Sur
14,Agente Interbank,"bank, finance",-12.2083604,-76.9464203,"Sector 2 Grupo 22 Mz ZC Lt 01, Lima",4.0,Bajo,Tarjeta de crédito,Grande,No,Horario laboral,Desconocido,Desconocido
15,Tortas Miski-Miski,"bakery, food, store",-12.2083168,-76.94644389999999,"Sector 2, grupo 22, manzana ZC, Mercado modelo tienda #2 Avenida Micaela Bastidas 14451441, Villa EL Salvador",5.0,Medio,Efectivo,Pequeña,No,Horario laboral,Villa el Salvador,Lima Sur
16,La Red De LESMES,Sin Categoría,-12.2089296,-76.94582390000001,"Q3R3+CMF, Villa el Salvador",3.92,Medio,Efectivo,Pequeña,No,Horario laboral,Villa el Salvador,Lima Sur
17,KR STORE,Sin Categoría,-12.2084895,-76.94585909999999,"Arriba Perú con, Avenida Micaela Bastidas S 2 Grupo 18 Mz. N, Lima",4.04,Medio,Efectivo,Mediana,Sí,Horario laboral,Desconocido,Desconocido
18,Colegio Lincoln de Villa el Salvador,Sin Categoría,-12.2082666,-76.94615569999999,Villa EL Salvador,3.7,Medio,Transferencia,Mediana,Sí,Horario laboral,Villa el Salvador,Lima Sur
19,Decor El Arte,"home_goods_store, store",-12.2083644,-76.9467966,"051, Villa EL Salvador",4.5,Bajo,Efectivo,Mediana,Sí,Horario laboral,Villa el Salvador,Lima Sur
20,Juguería Cárdenas,"cafe, food, store",-12.2084585,-76.94692959999999,"L1, Villa EL Salvador",5.0,Medio,Efectivo,Mediana,Sí,Horario laboral,Villa el Salvador,Lima Sur
21,Tienda Kirei,store,-12.2094804,-76.9461232,"Sector 2 Grupo 23 manzana B Lote 22, Villa EL Salvador",4.319999999999999,Medio,Efectivo,Mediana,No,Fines de semana,Villa el Salvador,Lima Sur
22,Pizza y pastas Luchito,"restaurant, food",-12.2088505,-76.9456647,"Q3R3+FP4, Villa EL Salvador",3.0,Alto,Transferencia,Pequeña,Sí,24 horas,Villa el Salvador,Lima Sur
23,Mass Micaela L5,"food, store",-12.2081307,-76.94629859999999,"Q3R3+PFW, Avenida Micaela Bastidas, Cercado de Lima",4.4,Medio,Transferencia,Mediana,Sí,Horario laboral,Cercado de Lima,Lima Centro
24,Servicio Multifuncional Para El Hogar S & G,Sin Categoría,-12.2091327,-76.9470461,"Arriba Peru 1271, Lima",4.82,Medio,Efectivo,Pequeña,No,24 horas,Desconocido,Desconocido
25,Bodega Goyita,food,-12.209154,-76.9457019,"Avenida Micaela Bastidas 1559, Lima",3.92,Medio,Transferencia,Pequeña,Sí,24 horas,Desconocido,Desconocido
26,JMC TATTOO ESTUDIO,store,-12.2093318,-76.945815,"Sector 2 Gr 23 Mz B Lt 9, Villa EL Salvador",3.92,Medio,Efectivo,Mediana,No,Horario laboral,Villa el Salvador,Lima Sur
27,GY SAC,"furniture_store, home_goods_store, store",-12.2095351,-76.9461153,Av.Solidaridad Mz-M Lt4 Parcela II Parque Industrial Villa el Salvador Villa el Salvador,4.319999999999999,Bajo,Efectivo,Grande,No,Fines de semana,Villa el Salvador,Lima Sur
28,Ferreteria encarnación,"hardware_store, store",-12.2081373,-76.94657839999999,"Avenida Micaela Bastidas 1445, Lima",4.44,Bajo,Efectivo,Mediana,No,Horario laboral,Desconocido,Desconocido
29,Estación villa el salvador,car_rental,-12.2080995,-76.9463396,"Avenida Micaela Bastidas 1445, Lima",4.28,Bajo,Efectivo,Pequeña,No,24 horas,Desconocido,Desconocido
