evento_id,nombre,categorias,descripcion_breve,latitud,longitud,direccion,calificaciones,fecha_inicio,fecha_fin,hora_inicio,hora_fin,precio,redes_sociales,target_etario,estacionamiento,wifi,distrito,tags
1,Carrera de 5K,"Deportes,Salud",Participa en una carrera de 5K para mantenerte en forma.,-12.152356,-77.013885,Dirección #1,4.0,2024-10-14,2024-10-14,18:00,20:00,40,fb.com/carrerade5k,18-40,False,True,santiago de surco,"Deporte,Salud"
2,Festival Gastronómico,"Comida,Festival",Prueba los mejores platillos en el festival gastronómico.,-12.11282,-76.979462,Dirección #2,3.8,2024-05-16,2024-05-16,09:00,10:00,0,fb.com/festivalgastronómico,18-40,False,False,santiago de surco,"Comida,Gastronomía"
3,Feria del Libro,"Cultura,Libros",Descubre las últimas novedades literarias en la feria del libro.,-12.174534,-77.016607,Dirección #3,4.7,2024-09-06,2024-09-07,10:00,13:00,0,fb.com/feriadellibro,18-40,False,False,lima este,"Libros,Cultura"
4,Concierto,"Música,Concierto",Disfruta de un concierto en vivo con tus artistas favoritos.,-12.102976,-76.971041,Dirección #4,3.9,2024-10-10,2024-10-10,15:00,19:00,40,fb.com/concierto,18-65,True,False,santiago de surco,"Música en vivo,Ambiente juvenil"
5,Feria del Libro,"Cultura,Libros",Descubre las últimas novedades literarias en la feria del libro.,-12.161147,-76.98122,Dirección #5,4.0,2024-09-24,2024-09-26,16:00,17:00,20,fb.com/feriadellibro,18-40,False,True,santiago de surco,"Libros,Cultura"
6,Noche de Karaoke,"Entretenimiento,Música",Canta tus canciones favoritas en una noche de karaoke.,-12.112892,-77.013005,Dirección #6,4.3,2024-09-02,2024-09-04,13:00,14:00,20,fb.com/nochedekaraoke,18-40,False,True,santiago de surco,"Karaoke,Música"
7,Taller de Fotografía,"Arte,Educativo",Aprende técnicas de fotografía en un taller especializado.,-12.153176,-77.012195,Dirección #7,4.0,2024-06-14,2024-06-16,18:00,21:00,0,fb.com/tallerdefotografía,18-40,False,False,santiago de surco,"Fotografía,Arte"
8,Concierto,"Música,Concierto",Disfruta de un concierto en vivo con tus artistas favoritos.,-12.148956,-77.012315,Dirección #8,3.9,2024-09-04,2024-09-06,14:00,18:00,60,fb.com/concierto,18-40,False,False,santiago de surco,"Música en vivo,Ambiente juvenil"
9,Feria del Libro,"Cultura,Libros",Descubre las últimas novedades literarias en la feria del libro.,-12.118746,-76.965842,Dirección #9,4.8,2024-05-20,2024-05-20,19:00,22:00,100,fb.com/feriadellibro,25-50,False,True,santiago de surco,"Libros,Cultura"
10,Festival Gastronómico,"Comida,Festival",Prueba los mejores platillos en el festival gastronómico.,-12.155544,-77.019866,Dirección #10,3.6,2024-09-03,2024-09-03,18:00,21:00,60,fb.com/festivalgastronómico,18-40,False,True,barranco,"Comida,Gastronomía"
11,Noche de Karaoke,"Entretenimiento,Música",Canta tus canciones favoritas en una noche de karaoke.,-12.129831,-76.989561,Dirección #11,4.8,2024-10-16,2024-10-16,15:00,19:00,60,fb.com/nochedekaraoke,25-50,True,False,santiago de surco,"Karaoke,Música"
12,Taller de Fotografía,"Arte,Educativo",Aprende técnicas de fotografía en un taller especializado.,-12.126953,-76.965022,Dirección #12,4.1,2024-06-18,2024-06-19,08:00,11:00,20,fb.com/tallerdefotografía,18-65,True,False,santiago de surco,"Fotografía,Arte"
13,Carrera de 5K,"Deportes,Salud",Participa en una carrera de 5K para mantenerte en forma.,-12.144378,-77.007891,Dirección #13,5.5,2024-09-19,2024-09-19,15:00,16:00,20,fb.com/carrerade5k,18-40,True,True,santiago de surco,"Deporte,Salud"
14,Obra de Teatro,"Cultura,Teatro",Disfruta de una obra de teatro con los mejores actores.,-12.153422,-76.969247,Dirección #14,4.6,2024-09-17,2024-09-18,16:00,20:00,500,fb.com/obradeteatro,18-40,False,False,santiago de surco,"Teatro,Cultura"
15,Carrera de 5K,"Deportes,Salud",Participa en una carrera de 5K para mantenerte en forma.,-12.14244,-76.989507,Dirección #15,4.2,2024-05-02,2024-05-02,17:00,21:00,40,fb.com/carrerade5k,25-50,False,False,santiago de surco,"Deporte,Salud"
16,Concierto,"Música,Concierto",Disfruta de un concierto en vivo con tus artistas favoritos.,-12.168159,-76.997408,Dirección #16,4.9,2024-10-19,2024-10-20,11:00,14:00,100,fb.com/concierto,18-40,False,False,santiago de surco,"Música en vivo,Ambiente juvenil"
17,Conferencia de Tecnología,"Educación,Tecnología",Aprende sobre tecnología en una conferencia especializada.,-12.122237,-76.994868,Dirección #17,3.7,2024-07-24,2024-07-26,10:00,13:00,100,fb.com/conferenciadetecnología,18-65,False,True,santiago de surco,"Tecnología,Educación"
18,Feria de Emprendedores,"Negocios,Innovación",Conoce los emprendimientos más innovadores en la feria.,-12.167335,-77.003953,Dirección #18,4.4,2024-08-18,2024-08-19,11:00,12:00,0,fb.com/feriadeemprendedores,18-40,True,True,santiago de surco,"Emprendimiento,Negocios"
19,Exposición de Arte,"Arte,Cultura",Descubre las últimas tendencias en arte en una exposición.,-12.170082,-77.003764,Dirección #19,3.5,2024-06-02,2024-06-03,16:00,20:00,20,fb.com/exposicióndearte,25-50,False,True,santiago de surco,"Arte,Cultura"
20,Feria de Emprendedores,"Negocios,Innovación",Conoce los emprendimientos más innovadores en la feria.,-12.138747,-76.987851,Dirección #20,4.0,2024-06-02,2024-06-03,15:00,17:00,0,fb.com/feriadeemprendedores,18-40,True,True,santiago de surco,"Emprendimiento,Negocios"
21,Festival Gastronómico,"Comida,Festival",Prueba los mejores platillos en el festival gastronómico.,-12.109047,-77.009619,Dirección #21,3.9,2024-10-25,2024-10-27,12:00,14:00,0,fb.com/festivalgastronómico,18-40,False,True,santiago de surco,"Comida,Gastronomía"
22,Exposición de Arte,"Arte,Cultura",Descubre las últimas tendencias en arte en una exposición.,-12.152326,-76.973884,Dirección #22,3.4,2024-09-16,2024-09-16,12:00,13:00,0,fb.com/exposicióndearte,25-50,False,False,santiago de surco,"Arte,Cultura"
23,Concierto,"Música,Concierto",Disfruta de un concierto en vivo con tus artistas favoritos.,-12.142095,-77.014105,Dirección #23,4.6,2024-06-25,2024-06-26,12:00,16:00,60,fb.com/concierto,18-65,False,False,santiago de surco,"Música en vivo,Ambiente juvenil"
24,Concierto,"Música,Concierto",Disfruta de un concierto en vivo con tus artistas favoritos.,-12.129512,-77.018819,Dirección #24,3.8,2024-08-29,2024-08-30,12:00,15:00,20,fb.com/concierto,18-65,False,False,miraflores,"Música en vivo,Ambiente juvenil"
25,Taller de Fotografía,"Arte,Educativo",Aprende técnicas de fotografía en un taller especializado.,-12.118758,-77.008305,Dirección #25,4.3,2024-07-07,2024-07-07,18:00,21:00,20,fb.com/tallerdefotografía,18-40,False,False,santiago de surco,"Fotografía,Arte"
26,Concierto,"Música,Concierto",Disfruta de un concierto en vivo con tus artistas favoritos.,-12.12145,-76.992049,Dirección #26,4.7,2024-05-14,2024-05-15,16:00,18:00,500,fb.com/concierto,18-65,True,False,santiago de surco,"Música en vivo,Ambiente juvenil"
27,Exposición de Arte,"Arte,Cultura",Descubre las últimas tendencias en arte en una exposición.,-12.151241,-76.971676,Dirección #27,3.8,2024-07-25,2024-07-27,16:00,17:00,0,fb.com/exposicióndearte,18-40,False,True,santiago de surco,"Arte,Cultura"
28,Feria del Libro,"Cultura,Libros",Descubre las últimas novedades literarias en la feria del libro.,-12.138367,-76.980206,Dirección #28,3.7,2024-09-06,2024-09-06,19:00,21:00,60,fb.com/feriadellibro,18-40,False,True,santiago de surco,"Libros,Cultura"
29,Feria de Emprendedores,"Negocios,Innovación",Conoce los emprendimientos más innovadores en la feria.,-12.162957,-76.970687,Dirección #29,4.2,2024-06-11,2024-06-12,19:00,23:00,20,fb.com/feriadeemprendedores,25-50,False,True,santiago de surco,"Emprendimiento,Negocios"
30,Concierto,"Música,Concierto",Disfruta de un concierto en vivo con tus artistas favoritos.,-12.145373,-77.010568,Dirección #30,4.1,2024-09-05,2024-09-05,16:00,17:00,60,fb.com/concierto,18-65,True,False,santiago de surco,"Música en vivo,Ambiente juvenil"
31,Taller de Fotografía,"Arte,Educativo",Aprende técnicas de fotografía en un taller especializado.,-12.120767,-76.976788,Dirección #31,3.6,2024-07-08,2024-07-10,10:00,14:00,40,fb.com/tallerdefotografía,18-65,True,True,santiago de surco,"Fotografía,Arte"
32,Exposición de Arte,"Arte,Cultura",Descubre las últimas tendencias en arte en una exposición.,-12.152066,-77.013064,Dirección #32,3.0,2024-08-27,2024-08-29,15:00,17:00,0,fb.com/exposicióndearte,18-65,True,True,santiago de surco,"Arte,Cultura"
33,Conferencia de Tecnología,"Educación,Tecnología",Aprende sobre tecnología en una conferencia especializada.,-12.139716,-77.011479,Dirección #33,4.2,2024-05-14,2024-05-15,15:00,17:00,60,fb.com/conferenciadetecnología,18-40,False,True,santiago de surco,"Tecnología,Educación"
34,Concierto,"Música,Concierto",Disfruta de un concierto en vivo con tus artistas favoritos.,-12.107885,-77.002171,Dirección #34,3.6,2024-09-05,2024-09-07,17:00,20:00,40,fb.com/concierto,18-40,False,False,santiago de surco,"Música en vivo,Ambiente juvenil"
35,Festival Gastronómico,"Comida,Festival",Prueba los mejores platillos en el festival gastronómico.,-12.121802,-76.969579,Dirección #35,3.5,2024-06-22,2024-06-22,11:00,15:00,60,fb.com/festivalgastronómico,18-65,True,False,santiago de surco,"Comida,Gastronomía"
36,Feria del Libro,"Cultura,Libros",Descubre las últimas novedades literarias en la feria del libro.,-12.174952,-77.018514,Dirección #36,2.8,2024-05-28,2024-05-28,17:00,20:00,100,fb.com/feriadellibro,18-40,False,False,lima este,"Libros,Cultura"
37,Noche de Karaoke,"Entretenimiento,Música",Canta tus canciones favoritas en una noche de karaoke.,-12.156574,-77.017603,Dirección #37,3.7,2024-06-25,2024-06-25,20:00,24:00,40,fb.com/nochedekaraoke,25-50,False,True,santiago de surco,"Karaoke,Música"
