actividad_id,nombre,categorias,descripcion_breve,latitud,longitud,direccion,calificaciones,precio,fecha_inicio,fecha_fin,horario_disponible,material_incluido,target_etario,redes_sociales,distrito,tags
1,Clase de Baile,"Cultura,Danza",Aprende pasos de baile con los mejores instructores.,-12.196742,-76.967147,Dirección #1-Clase de Baile,1.4,0,2024-10-14,2024-10-16,"['Lunes 10:00 - 22:00', 'Domingo 10:00 - 22:00', 'Viernes 10:00 - 18:00']",False,18-65,fb.com/clasedebaile,lima este,"Cultura,Danza"
2,Tour en Bicicleta,"Deportes,Tour",Recorre la ciudad en un tour guiado en bicicleta.,-12.116383,-77.013013,Dirección #2-Tour en Bicicleta,2.6,0,2024-06-03,2024-06-05,"['Miércoles 16:00 - 20:00', 'Viernes 10:00 - 18:00']",False,25-50,fb.com/tourenbicicleta,santiago de surco,"Deportes,Turismo"
3,Clase de Baile,"Cultura,Danza",Aprende pasos de baile con los mejores instructores.,-12.133117,-76.971728,Dirección #3-Clase de Baile,1.2,20,2024-08-16,2024-08-20,"['Viernes 10:00 - 18:00', 'Sábado 14:00 - 24:00', 'Domingo 10:00 - 22:00']",False,18-65,fb.com/clasedebaile,santiago de surco,"Cultura,Danza"
4,Clase de Yoga,"Salud,Ejercicio",Relájate y mejora tu flexibilidad con clases de yoga.,-12.133124,-76.957576,Dirección #4-Clase de Yoga,1.8,0,2024-10-03,2024-10-07,"['Miércoles 16:00 - 20:00', 'Jueves 18:00 - 22:00', 'Martes 14:00 - 20:00', 'Domingo 10:00 - 22:00', 'Lunes 10:00 - 22:00']",False,18-65,fb.com/clasedeyoga,santiago de surco,"Salud,Bienestar"
5,Escalada en Roca,"Deportes,Aventura",Vive una aventura emocionante escalando paredes de roca.,-12.184503,-77.01335,Dirección #5-Escalada en Roca,1.1,40,2024-05-20,2024-05-22,"['Lunes 10:00 - 22:00', 'Domingo 10:00 - 22:00', 'Sábado 14:00 - 24:00', 'Jueves 18:00 - 22:00', 'Martes 14:00 - 20:00', 'Miércoles 16:00 - 20:00']",False,25-50,fb.com/escaladaenroca,lima este,"Deportes,Aventura"
6,Tour en Bicicleta,"Deportes,Tour",Recorre la ciudad en un tour guiado en bicicleta.,-12.147292,-76.980489,Dirección #6-Tour en Bicicleta,1.7,20,2024-05-09,2024-05-12,"['Martes 14:00 - 20:00', 'Domingo 10:00 - 22:00', 'Lunes 10:00 - 22:00', 'Viernes 10:00 - 18:00', 'Miércoles 16:00 - 20:00']",True,18-40,fb.com/tourenbicicleta,santiago de surco,"Deportes,Turismo"
7,Clase de Yoga,"Salud,Ejercicio",Relájate y mejora tu flexibilidad con clases de yoga.,-12.124091,-76.997957,Dirección #7-Clase de Yoga,1.9,20,2024-10-24,2024-10-29,"['Miércoles 16:00 - 20:00', 'Jueves 18:00 - 22:00', 'Domingo 10:00 - 22:00']",False,18-40,fb.com/clasedeyoga,santiago de surco,"Salud,Bienestar"
8,Tour en Bicicleta,"Deportes,Tour",Recorre la ciudad en un tour guiado en bicicleta.,-12.179418,-76.988967,Dirección #8-Tour en Bicicleta,1.7,20,2024-06-29,2024-07-04,"['Miércoles 16:00 - 20:00', 'Jueves 18:00 - 22:00', 'Viernes 10:00 - 18:00', 'Martes 14:00 - 20:00']",False,25-50,fb.com/tourenbicicleta,lima este,"Deportes,Turismo"
9,Taller de Cerámica,"Arte,Taller",Crea piezas únicas en un taller de cerámica.,-12.194026,-76.960598,Dirección #9-Taller de Cerámica,2.0,40,2024-06-03,2024-06-07,"['Sábado 14:00 - 24:00', 'Miércoles 16:00 - 20:00', 'Lunes 10:00 - 22:00', 'Viernes 10:00 - 18:00']",True,18-40,fb.com/tallerdecerámica,lima este,"Arte,Manualidades"
10,Cata de Vinos,"Gastronomía,Experiencia",Descubre los mejores vinos con una cata guiada.,-12.127672,-77.009124,Dirección #10-Cata de Vinos,2.2,20,2024-10-26,2024-10-28,"['Miércoles 16:00 - 20:00', 'Lunes 10:00 - 22:00', 'Sábado 14:00 - 24:00']",True,18-65,fb.com/catadevinos,santiago de surco,"Gastronomía,Vinos"
